id,en
BUTTON_DETAILS,Details
HINT_EXIT_FULL_SCREEN,Exit Full Screen
HINT_HUDS_PANEL,HUDs
HINT_INFO_PANEL,Info
HINT_NAVIGATION_PANEL,Navigation
HINT_SELECTION_DETAILS,Details of the selected body
HINT_VIEW_PANEL,Camera & Views
LABEL_SHOW_HIDE_HUDS_PANEL,Show/Hide HUDs Panel
LABEL_SHOW_HIDE_INFO_PANEL,Show/Hide Info Panel
LABEL_SHOW_HIDE_NAVIGATION_PANEL,Show/Hide Navigation Panel
LABEL_SHOW_HIDE_SELECTION_DETAILS,Show/Hide Selection Details
LABEL_SHOW_HIDE_VIEW_PANEL,Show/Hide Camera & Views Panel
